source,target
0,1
0,255
1,2
1,113
2,3
2,107
3,4
3,206
4,5
4,101
4,216
5,6
5,147
6,7
6,70
7,8
7,65
8,9
8,202
9,10
9,87
10,11
10,112
11,12
11,20
12,13
13,14
14,15
15,16
16,17
16,217
17,18
17,103
17,147
17,239
18,19
19,20
20,21
21,22
21,39
22,23
22,230
23,24
23,86
23,178
23,249
24,25
24,48
24,125
25,26
26,27
26,184
27,28
27,173
28,29
28,150
29,30
29,89
29,205
29,253
30,31
30,135
31,32
31,227
32,33
33,34
34,35
35,36
36,37
37,38
37,232
37,246
38,39
39,40
40,41
41,42
41,199
42,43
43,44
43,169
44,45
45,46
45,166
46,47
46,61
47,48
47,213
48,49
48,214
48,239
49,50
50,51
50,107
51,52
51,74
52,53
52,92
53,54
53,60
53,69
54,55
54,61
54,191
55,56
55,231
55,255
56,57
56,90
57,58
57,250
58,59
58,140
59,60
60,61
60,186
61,62
61,201
62,63
63,64
64,65
64,164
65,66
66,67
66,89
66,204
67,68
68,69
69,70
70,71
71,72
72,73
73,74
73,175
74,75
74,138
75,76
75,80
76,77
77,78
78,79
78,146
79,80
80,81
80,129
81,82
81,91
82,83
83,84
84,85
85,86
86,87
87,88
88,89
88,237
89,90
90,91
91,92
91,123
92,93
93,94
94,95
95,96
95,143
95,199
96,97
96,251
97,98
97,120
98,99
98,143
99,100
100,101
101,102
101,234
101,247
102,103
103,104
104,105
104,207
105,106
106,107
106,111
106,189
107,108
108,109
108,148
109,110
110,111
111,112
112,113
113,114
114,115
115,116
115,130
115,219
116,117
117,118
117,207
118,119
118,120
118,251
119,120
120,121
121,122
122,123
123,124
124,125
124,185
125,126
125,172
126,127
126,135
126,182
127,128
128,129
129,130
130,131
130,211
131,132
131,201
132,133
133,134
133,142
133,162
134,135
135,136
136,137
137,138
137,200
138,139
138,190
139,140
139,244
139,253
140,141
141,142
142,143
143,144
144,145
145,146
146,147
147,148
148,149
149,150
150,151
151,152
151,225
152,153
152,212
153,154
154,155
154,223
155,156
156,157
156,212
157,158
158,159
158,172
159,160
160,161
160,192
161,162
162,163
163,164
164,165
164,243
165,166
166,167
167,168
168,169
168,186
169,170
170,171
171,172
172,173
173,174
173,193
174,175
175,176
176,177
177,178
178,179
178,244
179,180
179,222
180,181
180,233
181,182
182,183
183,184
184,185
185,186
186,187
187,188
188,189
189,190
190,191
190,204
191,192
192,193
192,248
193,194
193,232
194,195
194,241
195,196
196,197
197,198
197,215
198,199
199,200
200,201
201,202
202,203
203,204
203,237
204,205
205,206
206,207
207,208
208,209
209,210
210,211
210,226
211,212
212,213
213,214
214,215
215,216
216,217
217,218
218,219
219,220
220,221
221,222
222,223
223,224
223,234
224,225
225,226
226,227
227,228
228,229
229,230
230,231
231,232
232,233
233,234
234,235
235,236
236,237
237,238
238,239
239,240
240,241
241,242
242,243
243,244
244,245
245,246
246,247
247,248
248,249
249,250
250,251
251,252
252,253
253,254
254,255
